,open,high,low,close,volume,datetime
0,144.39,144.39,144.04,144.19,1931,2021-10-18 08:00:00
1,144.19,144.34,144.19,144.34,1124,2021-10-18 08:01:00
2,144.34,144.34,144.34,144.34,452,2021-10-18 08:02:00
3,144.21,144.24,144.21,144.24,750,2021-10-18 08:04:00
4,144.34,144.34,144.34,144.34,500,2021-10-18 08:05:00
5,144.31,144.31,144.31,144.31,325,2021-10-18 08:06:00
6,144.24,144.24,144.24,144.24,306,2021-10-18 08:07:00
7,144.21,144.25,144.21,144.25,542,2021-10-18 08:08:00
8,144.25,144.25,144.25,144.25,376,2021-10-18 08:09:00
9,144.27,144.27,144.26,144.26,330,2021-10-18 08:10:00
10,144.22,144.22,144.2,144.2,368,2021-10-18 08:13:00
11,144.2,144.2,144.2,144.2,281,2021-10-18 08:14:00
12,144.18,144.18,144.18,144.18,100,2021-10-18 08:15:00
13,144.25,144.25,144.25,144.25,150,2021-10-18 08:19:00
14,144.24,144.24,144.24,144.24,662,2021-10-18 08:23:00
15,144.25,144.25,144.25,144.25,440,2021-10-18 08:25:00
16,144.2,144.2,144.2,144.2,150,2021-10-18 08:26:00
17,144.25,144.25,144.23,144.23,450,2021-10-18 08:37:00
18,144.21,144.28,144.21,144.28,340,2021-10-18 08:39:00
19,144.22,144.22,144.22,144.22,100,2021-10-18 08:40:00
20,144.21,144.21,144.21,144.21,474,2021-10-18 08:44:00
21,144.23,144.23,144.23,144.23,106,2021-10-18 08:46:00
22,144.25,144.25,144.25,144.25,300,2021-10-18 08:47:00
23,144.28,144.28,144.27,144.27,399,2021-10-18 08:49:00
24,144.26,144.26,144.25,144.25,400,2021-10-18 08:50:00
25,144.23,144.23,144.22,144.22,300,2021-10-18 08:51:00
26,144.2,144.2,144.2,144.2,405,2021-10-18 08:53:00
27,144.25,144.25,144.25,144.25,100,2021-10-18 08:55:00
28,144.21,144.22,144.21,144.21,1132,2021-10-18 09:02:00
29,144.21,144.21,144.21,144.21,150,2021-10-18 09:03:00
30,144.2,144.2,144.17,144.17,2591,2021-10-18 09:04:00
31,144.17,144.17,144.17,144.17,250,2021-10-18 09:06:00
32,144.16,144.16,144.16,144.16,320,2021-10-18 09:07:00
33,144.18,144.18,144.18,144.18,138,2021-10-18 09:08:00
34,144.18,144.18,144.18,144.18,126,2021-10-18 09:09:00
35,144.19,144.19,144.19,144.19,150,2021-10-18 09:15:00
36,144.19,144.19,144.19,144.19,450,2021-10-18 09:17:00
37,144.2,144.2,144.19,144.19,254,2021-10-18 09:19:00
38,144.22,144.22,144.22,144.22,544,2021-10-18 09:20:00
39,144.34,144.35,144.34,144.35,238,2021-10-18 09:26:00
40,144.4,144.4,144.4,144.4,592,2021-10-18 09:27:00
41,144.35,144.35,144.35,144.35,1229,2021-10-18 09:28:00
42,144.28,144.28,144.22,144.23,898,2021-10-18 09:36:00
43,144.22,144.22,144.22,144.22,100,2021-10-18 09:37:00
44,144.29,144.29,144.29,144.29,395,2021-10-18 09:43:00
45,144.26,144.26,144.26,144.26,269,2021-10-18 09:47:00
46,144.26,144.26,144.26,144.26,211,2021-10-18 09:48:00
47,144.32,144.32,144.32,144.32,210,2021-10-18 09:51:00
48,144.3,144.3,144.25,144.27,1411,2021-10-18 10:00:00
49,144.31,144.32,144.31,144.32,470,2021-10-18 10:03:00
50,144.22,144.22,144.21,144.21,397,2021-10-18 10:08:00
51,144.2,144.21,144.19,144.19,939,2021-10-18 10:09:00
52,144.2,144.2,144.2,144.2,1800,2021-10-18 10:11:00
53,144.18,144.18,144.1,144.1,2440,2021-10-18 10:13:00
54,144.1,144.1,144.0,144.04,4829,2021-10-18 10:14:00
55,144.04,144.04,144.04,144.04,471,2021-10-18 10:15:00
56,144.07,144.08,144.07,144.08,600,2021-10-18 10:16:00
57,144.1,144.1,144.1,144.1,116,2021-10-18 10:19:00
58,144.11,144.11,144.11,144.11,446,2021-10-18 10:28:00
59,144.27,144.27,144.27,144.27,304,2021-10-18 10:29:00
60,144.14,144.14,144.14,144.14,400,2021-10-18 10:30:00
